REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_MOT,2057,-0.0
Globe,Globe,IN,C1_F_MOT,2058,-0.0
Globe,Globe,IN,C1_F_MOT,2059,-0.0
Globe,Globe,IN,C1_F_MOT,2060,-0.0
Globe,Globe,IN,C1_F_MOT,2061,-0.0
Globe,Globe,IN,C1_F_MOT,2062,-0.0
Globe,Globe,IN,C1_F_MOT,2063,-0.0
Globe,Globe,IN,C1_F_MOT,2064,-0.0
Globe,Globe,IN,C1_F_MOT,2065,-0.0
Globe,Globe,IN,C1_F_MOT,2066,-0.0
Globe,Globe,IN,C1_F_MOT,2067,-0.0
Globe,Globe,IN,C1_F_MOT,2068,-0.0
Globe,Globe,IN,C1_F_MOT,2069,-0.0
Globe,Globe,IN,C1_F_MOT,2070,-0.0
Globe,Globe,IN,C1_F_RD,2010,-0.0
Globe,Globe,IN,C1_F_RD,2011,-0.0
Globe,Globe,IN,C1_F_RD,2012,-0.0
Globe,Globe,IN,C1_F_RD,2013,-0.0
Globe,Globe,IN,C1_F_RD,2014,-0.0
Globe,Globe,IN,C1_F_RD,2015,-0.0
Globe,Globe,IN,C1_F_RD,2016,-0.0
Globe,Globe,IN,C1_F_RD,2017,-0.0
Globe,Globe,IN,C1_F_RD,2018,-0.0
Globe,Globe,IN,C1_F_RD,2019,-0.0
Globe,Globe,IN,C1_F_RD,2020,-0.0
Globe,Globe,IN,C1_F_RD,2021,-0.0
Globe,Globe,IN,C1_F_RD,2022,-0.0
Globe,Globe,IN,C1_F_RD,2023,-0.0
Globe,Globe,IN,C1_F_RD,2024,-0.0
Globe,Globe,IN,C1_F_RD,2025,-0.0
Globe,Globe,IN,C1_F_RD,2026,-0.0
Globe,Globe,IN,C1_F_RD,2027,-0.0
Globe,Globe,IN,C1_F_RD,2028,-0.0
Globe,Globe,IN,C1_F_RD,2029,-0.0
Globe,Globe,IN,C1_F_RD,2030,-0.0
Globe,Globe,IN,C1_F_RD,2031,-0.0
Globe,Globe,IN,C1_F_RD,2032,-0.0
Globe,Globe,IN,C1_F_RD,2033,-0.0
Globe,Globe,IN,C1_F_RD,2034,-0.0
Globe,Globe,IN,C1_F_RD,2035,-0.0
Globe,Globe,IN,C1_F_RD,2036,-0.0
Globe,Globe,IN,C1_F_RD,2037,-0.0
Globe,Globe,IN,C1_F_RD,2038,-0.0
Globe,Globe,IN,C1_F_RD,2039,-0.0
Globe,Globe,IN,C1_F_RD,2040,-0.0
Globe,Globe,IN,C1_F_RD,2041,-0.0
Globe,Globe,IN,C1_F_RD,2042,-0.0
Globe,Globe,IN,C1_F_RD,2043,-0.0
Globe,Globe,IN,C1_F_RD,2044,-0.0
Globe,Globe,IN,C1_F_RD,2045,-0.0
Globe,Globe,IN,C1_F_RD,2046,-0.0
Globe,Globe,IN,C1_F_RD,2047,-0.0
Globe,Globe,IN,C1_F_RD,2048,-0.0
Globe,Globe,IN,C1_F_RD,2049,-0.0
Globe,Globe,IN,C1_F_RD,2050,-0.0
Globe,Globe,IN,C1_F_RD,2051,-0.0
Globe,Globe,IN,C1_F_RD,2052,-0.0
Globe,Globe,IN,C1_F_RD,2053,-0.0
Globe,Globe,IN,C1_F_RD,2054,-0.0
Globe,Globe,IN,C1_F_RD,2055,-0.0
Globe,Globe,IN,C1_F_RD,2056,-0.0
Globe,Globe,IN,C1_F_RD,2057,-0.0
Globe,Globe,IN,C1_F_RD,2058,-0.0
Globe,Globe,IN,C1_F_RD,2059,-0.0
Globe,Globe,IN,C1_F_RD,2060,-0.0
Globe,Globe,IN,C1_F_RD,2061,-0.0
Globe,Globe,IN,C1_F_RD,2062,-0.0
Globe,Globe,IN,C1_F_RD,2063,-0.0
Globe,Globe,IN,C1_F_RD,2064,-0.0
Globe,Globe,IN,C1_F_RD,2065,-0.0
Globe,Globe,IN,C1_F_RD,2066,-0.0
Globe,Globe,IN,C1_F_RD,2067,-0.0
Globe,Globe,IN,C1_F_RD,2068,-0.0
Globe,Globe,IN,C1_F_RD,2069,-0.0
Globe,Globe,IN,C1_F_RD,2070,-0.0
Globe,Globe,IN,C1_F_RL,2010,-0.0
Globe,Globe,IN,C1_F_RL,2011,-0.0
Globe,Globe,IN,C1_F_RL,2012,-0.0
Globe,Globe,IN,C1_F_RL,2013,-0.0
Globe,Globe,IN,C1_F_RL,2014,-0.0
Globe,Globe,IN,C1_F_RL,2015,-0.0
Globe,Globe,IN,C1_F_RL,2016,-0.0
Globe,Globe,IN,C1_F_RL,2017,-0.0
Globe,Globe,IN,C1_F_RL,2018,-0.0
Globe,Globe,IN,C1_F_RL,2019,-0.0
Globe,Globe,IN,C1_F_RL,2020,-0.0
Globe,Globe,IN,C1_F_RL,2021,-0.0
Globe,Globe,IN,C1_F_RL,2022,-0.0
Globe,Globe,IN,C1_F_RL,2023,-0.0
Globe,Globe,IN,C1_F_RL,2024,-0.0
Globe,Globe,IN,C1_F_RL,2025,-0.0
Globe,Globe,IN,C1_F_RL,2026,-0.0
Globe,Globe,IN,C1_F_RL,2027,-0.0
Globe,Globe,IN,C1_F_RL,2028,-0.0
Globe,Globe,IN,C1_F_RL,2029,-0.0
Globe,Globe,IN,C1_F_RL,2030,-0.0
Globe,Globe,IN,C1_F_RL,2031,-0.0
Globe,Globe,IN,C1_F_RL,2032,-0.0
Globe,Globe,IN,C1_F_RL,2033,-0.0
Globe,Globe,IN,C1_F_RL,2034,-0.0
Globe,Globe,IN,C1_F_RL,2035,-0.0
Globe,Globe,IN,C1_F_RL,2036,-0.0
Globe,Globe,IN,C1_F_RL,2037,-0.0
Globe,Globe,IN,C1_F_RL,2038,-0.0
Globe,Globe,IN,C1_F_RL,2039,-0.0
Globe,Globe,IN,C1_F_RL,2040,-0.0
Globe,Globe,IN,C1_F_RL,2041,-0.0
Globe,Globe,IN,C1_F_RL,2042,-0.0
Globe,Globe,IN,C1_F_RL,2043,-0.0
Globe,Globe,IN,C1_F_RL,2044,-0.0
Globe,Globe,IN,C1_F_RL,2045,-0.0
Globe,Globe,IN,C1_F_RL,2046,-0.0
Globe,Globe,IN,C1_F_RL,2047,-0.0
Globe,Globe,IN,C1_F_RL,2048,-0.0
Globe,Globe,IN,C1_F_RL,2049,-0.0
Globe,Globe,IN,C1_F_RL,2050,-0.0
Globe,Globe,IN,C1_F_RL,2051,-0.0
Globe,Globe,IN,C1_F_RL,2052,-0.0
Globe,Globe,IN,C1_F_RL,2053,-0.0
Globe,Globe,IN,C1_F_RL,2054,-0.0
Globe,Globe,IN,C1_F_RL,2055,-0.0
Globe,Globe,IN,C1_F_RL,2056,-0.0
Globe,Globe,IN,C1_F_RL,2057,-0.0
Globe,Globe,IN,C1_F_RL,2058,-0.0
Globe,Globe,IN,C1_F_RL,2059,-0.0
Globe,Globe,IN,C1_F_RL,2060,-0.0
