REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,LA1,1,L_AGR_VFOO,2027,1834.7297
Globe,IN,LA1,1,L_AGR_VFOO,2028,1819.6026
Globe,IN,LA1,1,L_AGR_VFOO,2029,1802.6042
Globe,IN,LA1,1,L_AGR_VFOO,2030,1783.706
Globe,IN,LA1,1,L_AGR_VFOO,2031,1755.1946
Globe,IN,LA1,1,L_AGR_VFOO,2032,1724.5169
Globe,IN,LA1,1,L_AGR_VFOO,2033,1691.667
Globe,IN,LA1,1,L_AGR_VFOO,2034,1656.2617
Globe,IN,LA1,1,L_AGR_VFOO,2035,1618.3114
Globe,IN,LA1,1,L_AGR_VFOO,2036,1577.9974
Globe,IN,LA1,1,L_AGR_VFOO,2037,1534.9187
Globe,IN,LA1,1,L_AGR_VFOO,2038,1488.7699
Globe,IN,LA1,1,L_AGR_VFOO,2039,1439.638
Globe,IN,LA1,1,L_AGR_VFOO,2040,1387.3429
Globe,IN,LA1,1,L_AGR_VFOO,2041,1327.2251
Globe,IN,LA1,1,L_AGR_VFOO,2042,1263.6161
Globe,IN,LA1,1,L_AGR_VFOO,2043,1196.3671
Globe,IN,LA1,1,L_AGR_VFOO,2044,1125.0607
Globe,IN,LA1,1,L_AGR_VFOO,2045,1049.6696
Globe,IN,LA1,1,L_AGR_VFOO,2046,970.32377
Globe,IN,LA1,1,L_AGR_VFOO,2047,886.40962
Globe,IN,LA1,1,L_AGR_VFOO,2048,797.7296
Globe,IN,LA1,1,L_AGR_VFOO,2049,704.12187
Globe,IN,LA1,1,L_AGR_VFOO,2050,605.19868
Globe,IN,LA1,1,L_AGR_VFOO,2051,497.06455
Globe,IN,LA1,1,L_AGR_VFOO,2052,383.18281
Globe,IN,LA1,1,L_AGR_VFOO,2053,263.26607
Globe,IN,LA1,1,L_AGR_VFOO,2054,137.01258
Globe,IN,LA1,1,L_AGR_VFOO,2055,4.1055196
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2010,71.71304921
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2011,69.887130205
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2012,70.939083925
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2013,71.993809895
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2014,73.059607805
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2015,74.277700335
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2016,75.60656344499999
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2017,76.94373051
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2018,78.28643781
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2019,79.63903564499999
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2020,80.992814885
